id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated,price_change_percentage_1y_in_currency,price_change_percentage_24h_in_currency,price_change_percentage_30d_in_currency
pine-world,pwlc,Pine World,https://assets.coingecko.com/coins/images/29518/large/PWLC200.png?1679403772,0.024017057,0.0,,1200853.0,21.01,,,,,,,0.0,50000000.0,50000000.0,0.180412,-86.68765,2023-04-09T21:30:23.916Z,0.00199819,1101.94181,2023-07-14T15:16:14.874Z,,2023-07-19T23:19:40.679Z,,,1101.2486874999342
pinjam-kava,pinkav,Pinjam.Kava,https://assets.coingecko.com/coins/images/30803/large/PINKAV_Logo_%28200x200%29.png?1687406854,0.285587789,0.0,,14279389.0,35298.0,,,,,,,0.0,5000000.0,50000000.0,0.308719,-7.49253,2023-07-15T11:47:38.367Z,0.02136108,1236.95374,2023-06-28T19:49:11.902Z,,2023-07-15T15:10:41.409Z,,,0.0
baby-woj,bwj,Baby WOJ,https://assets.coingecko.com/coins/images/22948/large/WOJ.png?1643009571,1.299e-05,0.0,,25980247.0,22367.0,,,,,,,0.0,2000000000000.0,,0.00013646,-90.48029,2022-02-05T14:35:00.632Z,1.21e-05,7.37067,2023-07-16T22:04:57.291Z,,2023-08-03T14:10:22.235Z,-32.90900621009828,,2.629971098296877
plug-power-ai,ppai,Plug Power AI,https://assets.coingecko.com/coins/images/30420/large/Logo-plug-power-AI-crypto-project-bsc-bnb-200x200-0xeFd1C4bC2D22639Ea86B70e249EEc0ccabf54f06.png?1684391754,0.000543667,0.0,,543667.0,108452.0,,,,,,,0.0,1000000000.0,1000000000.0,0.0005446,-0.17151,2023-05-18T10:00:26.604Z,0.0005399,0.69801,2023-05-18T06:46:56.267Z,,2023-05-18T12:33:27.171Z,,,0.0
plums,plums,PLUMS,https://assets.coingecko.com/coins/images/30097/large/logoPlums.png?1683180942,1e-09,0.0,,43744.0,2066.26,,,,,,,0.0,69420420420069.0,69420420420069.0,2.0996e-08,-96.99877,2023-05-02T13:05:49.630Z,4.67637e-10,34.7487,2023-06-28T20:30:11.938Z,,2023-08-14T23:24:26.659Z,,,-17.428636962083345
babywhale,bbw,BabyWhale,https://assets.coingecko.com/coins/images/24168/large/babywhale_32.png?1646716918,2.783e-06,0.0,,2783068.0,17.48,,,,,,,0.0,1000000000000.0,1000000000000.0,9.67e-06,-71.23047,2022-04-03T22:41:32.662Z,1.71e-06,63.0864,2022-06-18T20:54:23.826Z,,2023-08-09T18:55:29.834Z,-25.224274477777747,,-8.483693539373716
plutus-arb,plsarb,Plutus ARB,https://assets.coingecko.com/coins/images/30636/large/plsARB.png?1686019260,0.470889837,0.0,,4101804.0,13793.63,0.45532,0.391334,0.055594,13.38665,0.0,0.0,0.0,9002453.0,,0.872381,-47.91542,2023-06-07T05:26:44.236Z,0.341256,33.14832,2023-08-15T02:10:03.614Z,,2023-08-16T20:24:20.597Z,,13.386652201461027,-36.217939248999464
plutus-dpx,plsdpx,Plutus DPX,https://assets.coingecko.com/coins/images/29652/large/plsDPX.png?1685070920,61.939059316,0.0,,,81.52,62.5,61.55,-0.4558993910957909,-0.73067,0.0,0.0,0.0,,,259.2,-76.10401,2023-04-03T13:54:57.445Z,52.95,16.96684,2023-07-30T23:00:42.851Z,,2023-08-16T19:14:17.300Z,,-0.7306670290995158,-42.79263998667816
plutus-rdnt,plsrdnt,Plutus RDNT,https://assets.coingecko.com/coins/images/30635/large/plsRDNT.png?1686018355,0.684286695,0.0,,962682.0,2303.25,0.720589,0.674398,-0.032092733643210636,-4.47985,0.0,0.0,0.0,1406706.0,,1.21,-43.28895,2023-06-08T08:20:47.693Z,0.512522,33.52629,2023-07-24T00:08:43.567Z,,2023-08-16T20:24:29.273Z,,-4.479851368725688,-4.748285719998207
pmg-coin,pmg,PMG Coin,https://assets.coingecko.com/coins/images/26549/large/%EC%A0%9C%EB%AA%A9_%EC%97%86%EC%9D%8C.png?1658752346,0.000450291,0.0,,900375.0,707.06,0.00048751,0.00044984,-2.9286792349287e-05,-6.10678,0.0,0.0,0.0,2000000000.0,,0.00270158,-83.32735,2023-04-10T06:43:54.299Z,0.00038244,17.77551,2023-05-05T23:02:23.301Z,,2023-08-16T20:13:30.556Z,,-6.106782676986899,-21.937474628919432
baby-shiba-inu,babyshibainu,Baby Shiba Inu,https://assets.coingecko.com/coins/images/16805/large/BabyShiba.png?1625127854,3e-09,0.0,,2803987.0,63.92,2.849e-09,2.774e-09,-1.4691131e-11,-0.52121,0.0,0.0,0.0,1000000000000000.0,1000000000000000.0,5.052e-08,-94.44732,2021-10-31T01:31:25.597Z,2.051e-12,136668.36158,2021-11-27T18:52:58.773Z,,2023-08-16T20:25:36.927Z,-48.62974772824931,-0.5212063211949147,-3.5989410134774866
poc-blockchain,poc,POC Blockchain,https://assets.coingecko.com/coins/images/13759/large/PQ7MaT8N_400x400.png?1611612016,0.131781246,0.0,,131781246.0,0.01317812,0.132246,0.131746,-0.000342665609756765,-0.25935,0.0,0.0,0.0,1000000000.0,,13.45,-99.02029,2021-02-09T13:36:52.451Z,0.095516,37.96837,2022-12-24T15:29:17.087Z,,2023-08-16T14:00:28.287Z,-25.474743235970955,-0.2593516987088584,8.126913146627887
pochi-inu,pochi,Pochi Inu,https://assets.coingecko.com/coins/images/23816/large/logo-gold.png?1645513711,3.507e-06,0.0,,350686.0,78.03,,,,,,,0.0,100000000000.0,,5.861e-05,-94.01679,2022-02-23T06:02:27.793Z,2.72e-06,29.11971,2022-11-21T19:36:04.943Z,,2023-08-08T18:31:37.602Z,-42.56753214702484,,-4.32620736959386
baby-shiba-coin,babyshiba,Baby Shiba Coin,https://assets.coingecko.com/coins/images/22707/large/9CmjzSIW_400x400.jpg?1642457763,0.000581822,0.0,,244365.0,18.78,,,,,,,0.0,420000000.0,420000000.0,0.02945322,-98.02459,2022-01-17T22:37:59.671Z,0.00043402,34.05344,2022-06-19T10:06:43.903Z,,2023-08-10T10:00:05.146Z,-31.24458974044461,,-9.790196572231938
baby-shark-tank,bashtank,Baby Shark Tank,https://assets.coingecko.com/coins/images/15390/large/IqTGmFXy_400x400.jpg?1620703139,0.0,0.0,,133141.0,0.656114,,,,,,,0.0,1000000000000000.0,,6.428e-09,-97.92873,2021-05-11T23:09:58.238Z,6.786e-15,1962012.18896,2021-11-20T17:53:25.833Z,,2023-08-14T08:51:33.266Z,-24.911499340885165,,-3.586875826459237
baby-shark,shark,Baby Shark,https://assets.coingecko.com/coins/images/15653/large/Resized_Shark_Logo.png?1624260129,0.0,0.0,,30006.0,97.82,,,,,,,0.0,1000000000000000.0,,3.7934e-08,-99.9209,2021-06-03T13:19:50.323Z,2.4101e-11,24.50104,2022-11-09T22:09:40.185Z,,2023-08-15T12:23:33.865Z,-71.05717894483222,,-13.965619203362614
pocket-project,ppt,Pocket ProjecT,https://assets.coingecko.com/coins/images/28980/large/logo_200.jpeg?1675757800,0.053485109,0.0,,267547713.0,355626.0,0.053698,0.053267,6.93e-05,0.12973,0.0,0.0,0.0,5000000000.0,5000000000.0,0.070781,-24.36688,2023-04-27T00:26:40.067Z,0.04588177,16.67753,2023-06-07T22:20:24.520Z,,2023-08-16T20:25:09.934Z,,0.1297299394728054,15.871545652067272
pocoland,poco,Pocoland,https://assets.coingecko.com/coins/images/18293/large/poco.PNG?1631312700,0.000677593,0.0,,122148.0,73.62,0.0006976,0.00067365,-1.5929506496003e-05,-2.2969,0.0,0.0,0.0,180000000.0,,1.29,-99.94738,2021-09-11T10:23:49.708Z,0.00060048,12.89235,2023-02-13T16:35:18.473Z,,2023-08-16T20:25:18.305Z,-80.76540780271651,-2.2968993723693027,3.581206166519648
baby-samo-coin,baby,Baby Samo Coin,https://assets.coingecko.com/coins/images/20262/large/386VuTho_400x400.jpg?1636704021,1.0696e-05,0.0,,106965.0,359.08,1.122e-05,1.069e-05,1.996e-09,0.01866,0.0,0.0,0.0,10000000000.0,10000000000.0,0.00280044,-99.61804,2021-11-13T20:54:52.339Z,2.19e-06,387.44801,2022-10-13T07:20:39.567Z,,2023-08-16T20:24:10.208Z,-89.8650275962709,0.018661306993910345,-3.981351262940111
pogai,pogai,POGAI,https://assets.coingecko.com/coins/images/30116/large/pogai.jpeg?1683108246,6.9691e-05,0.0,,6958353.0,793629.0,7.273e-05,6.682e-05,-2.236296424759e-06,-3.10912,0.0,0.0,0.0,100000000000.0,100000000000.0,0.00049205,-85.86438,2023-05-06T01:35:15.691Z,8.05e-06,763.89111,2023-06-10T19:10:49.370Z,,2023-08-16T20:25:27.180Z,,-3.109124623540618,11.48634640127951
poglana,pog,Poglana,https://assets.coingecko.com/coins/images/28742/large/pog-logo.png?1673840874,0.0,0.0,,13895.72,3.87,,,,,,,0.0,66666666666666.0,66666666666666.0,8.7307e-08,-99.76126,2023-01-16T12:51:06.929Z,1.54008e-10,35.34123,2023-06-17T15:01:48.928Z,,2023-06-19T13:30:09.038Z,,,0.0
point-coin,point,Point Coin,https://assets.coingecko.com/coins/images/27295/large/point.png?1663150205,0.000169573,0.0,,84786.0,5087.18,0.00017016,0.00016939,-4.43027507633e-07,-0.26058,0.0,0.0,0.0,500000000.0,500000000.0,10.08,-99.99832,2022-12-04T12:30:40.173Z,2.046e-05,728.70736,2023-08-02T15:17:51.124Z,,2023-08-16T20:00:43.022Z,,-0.26058053233452816,5.507005080944984
point-network,point,Point Network,https://assets.coingecko.com/coins/images/27320/large/point.png?1663318687,0.003411905,0.0,,4795055.0,6810.41,,,,,,,0.0,1001411102.0,1405389529.0,0.522896,-99.3475,2022-09-16T19:17:21.935Z,0.00277837,22.80245,2023-07-24T15:30:56.300Z,,2023-07-25T09:30:41.565Z,,,-12.521177970272188
baby-saitama,babysaitama,Baby Saitama,https://assets.coingecko.com/coins/images/17584/large/babysaitama.png?1635907049,0.0,0.0,,479063.0,66.85,,,,,,,0.0,1e+17,1e+17,6.34251e-10,-99.24468,2021-10-19T07:42:14.353Z,8.74428e-13,447.85862,2023-07-26T07:05:01.412Z,,2023-08-10T11:30:05.702Z,-67.6529122133656,,28.96398242226762
poison-finance,poi$on,Poison Finance,https://assets.coingecko.com/coins/images/28630/large/poisonlogo160x160.png?1672737996,0.053540423,0.0,,120586.0,11704.34,0.068719,0.053385,-0.015134586011391187,-22.03798,0.0,0.0,0.0,2252186.0,,2.58,-97.92544,2023-04-19T16:36:16.343Z,0.051635,3.74717,2023-01-21T22:27:54.634Z,,2023-08-16T20:24:27.810Z,,-22.03798174417572,-80.86409670819737
